image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
1.pgm,512x512,35381,4.8544,True,inf,0.0017063973291034705,0.0019051792885879286,7.999217966443414,285.1171875,87.84599304199219,1.8253476011986827
10.pgm,512x512,12524,3.5667,True,inf,0.0008898246915680279,0.0017508871559511682,7.999344411418771,237.837890625,94.56977844238281,3.988303390203738
100.pgm,512x512,44203,4.1156,True,inf,0.0014606076111283572,0.0006646649397454008,7.999281626594134,260.16796875,88.97552490234375,3.5085969812729783
1000.pgm,512x512,49150,4.2723,True,inf,-2.3429616579973204e-05,-0.00018743112928703307,7.999230143520755,280.603515625,88.06533813476562,3.432388305664062
10000.pgm,512x512,48164,4.218,True,inf,0.0018297306485601688,4.356897209205227e-05,7.999293626427172,256.64453125,88.31863403320312,3.450078029258578
1001.pgm,512x512,8377,5.295,True,inf,0.0008422876669287791,0.0004496538644834948,7.999331150792855,243.0234375,86.27357482910156,1.0023274141199447
1002.pgm,512x512,43344,4.2574,True,inf,0.0018499327406094497,0.0006184675691436219,7.999274415783161,263.9296875,89.13650512695312,3.5147827746821383
1003.pgm,512x512,32845,3.9028,True,inf,-0.00017371925371644157,-0.001425451782488297,7.999252407155715,271.583984375,91.08848571777344,3.6801626168045347
1004.pgm,512x512,63913,5.1981,True,inf,0.00024181834013630113,0.00020872959368970935,7.999247053340905,272.623046875,83.04214477539062,1.623373592601103
1005.pgm,512x512,7930,3.5378,True,inf,0.004232968622313946,0.00064754935710944,7.9993611584771624,231.96875,95.47157287597656,4.064772362802542
1006.pgm,512x512,1568,0.9969,True,inf,0.00016352944291755304,-0.0032552107994504894,7.999288525964468,258.044921875,99.31411743164062,33.273330389284624
1007.pgm,512x512,34420,2.57,True,inf,0.003046551590536371,-0.0026763172333183847,7.999274658522223,263.701171875,92.74406433105469,14.568381216011794
1008.pgm,512x512,35730,4.7926,True,inf,0.002455287481741001,0.001424183295858056,7.999267165615368,266.080078125,87.86125183105469,1.8288960176355697
1009.pgm,512x512,40862,4.0929,True,inf,-0.00017830591742872066,0.001450333386232146,7.999290379164342,257.9609375,89.58206176757812,3.549495023839614
101.pgm,512x512,29769,2.3945,True,inf,0.0007603244033073469,-0.000863377349669476,7.999340232419236,240.44921875,93.58329772949219,14.845823400160846
1010.pgm,512x512,63103,5.1646,True,inf,0.0012969614067800065,0.0017700118626155618,7.999385330640429,223.74609375,83.14056396484375,1.6272526161343444
1011.pgm,512x512,39333,4.1318,True,inf,0.00145683512045004,0.0009842787945863961,7.999326580865365,244.6171875,89.82696533203125,3.583149629480699
1012.pgm,512x512,20924,3.7987,True,inf,0.004989127385947323,0.0021383162845275577,7.999323424845678,245.39453125,93.16673278808594,3.869002099130668
1013.pgm,512x512,25100,4.657,True,inf,0.0015876422326404549,0.0003812483695642565,7.999282486298102,260.84765625,89.48097229003906,1.9001007080078125
1014.pgm,512x512,5030,5.3076,True,inf,0.0020750776463461067,-0.00014733443436259317,7.999190825719325,294.275390625,86.72866821289062,1.014555388805913
1015.pgm,512x512,7571,4.3768,True,inf,0.0014282543241211452,0.001543341357327898,7.9992819173597915,261.427734375,92.49076843261719,2.0290479473039214
1016.pgm,512x512,64316,5.1693,True,inf,0.0026937594576600097,0.002207685786995717,7.999337231549651,240.302734375,83.04710388183594,1.6196202296836704
1017.pgm,512x512,40984,5.6635,True,inf,-0.0007120131921693835,0.0022858547596553255,7.999357780518035,232.87109375,81.67572021484375,0.8985496969784007
1018.pgm,512x512,20089,5.427,True,inf,4.0222204014744804e-05,0.0018886088358186998,7.999193593850999,292.482421875,84.55924987792969,0.9629687140969669
1019.pgm,512x512,38181,4.0541,True,inf,0.0024257472393284275,-9.830074641275405e-05,7.9993359127889505,240.724609375,89.98641967773438,3.6051641726026347
102.pgm,512x512,34552,3.146,True,inf,0.001946568742077126,0.002202604795697738,7.999302603924534,253.169921875,92.0440673828125,7.3058124617034315
1020.pgm,512x512,21035,3.8379,True,inf,0.0003538117919387566,-0.0025447133849437233,7.999362280275951,231.6328125,93.13774108886719,3.8576283174402572
1021.pgm,512x512,6757,2.6549,True,inf,0.0014163559794196994,0.00046845724791873207,7.999277252923731,262.208984375,97.235107421875,8.167093314376531
1022.pgm,512x512,3830,3.3441,True,inf,0.0024156669109876273,0.0020845408424088043,7.9992804937031945,261.552734375,96.18110656738281,4.118203555836397
1023.pgm,512x512,7211,4.3474,True,inf,0.0024057820374741813,0.00013045019737785782,7.999273470432927,263.337890625,92.43659973144531,2.033487955729167
1024.pgm,512x512,22895,5.4625,True,inf,0.0016123636491748596,0.0009501523361858965,7.999321657905694,246.380859375,84.3292236328125,0.9582938399969363
1025.pgm,512x512,48640,4.9401,True,inf,0.0008535141537601859,0.001919939275530288,7.999272654574021,263.283203125,85.58349609375,1.7314701454312194
1026.pgm,512x512,22915,3.8276,True,inf,0.0008312752034351722,0.0018800662647076053,7.9993325358930605,242.134765625,92.7642822265625,3.831558227539063
1027.pgm,512x512,32515,4.7476,True,inf,0.0010762134351348998,0.005949691977489504,7.999316800437611,248.556640625,88.35830688476562,1.8436805874693627
1028.pgm,512x512,26749,4.671,True,inf,-0.0002835897451926546,0.0016042319759840865,7.999284311300183,260.78515625,89.30778503417969,1.8877395929074756
1029.pgm,512x512,27865,4.6895,True,inf,0.0020286673143915545,0.0024457739684430385,7.99927295298437,264.4921875,89.13345336914062,1.8883245131548714
103.pgm,512x512,52911,5.0604,True,inf,0.004854971087164765,0.0015873106112539994,7.999267857151423,265.630859375,84.78012084960938,1.700147740981158
1030.pgm,512x512,41707,4.8974,True,inf,0.003256543871624426,0.0021109050369996947,7.999310506546247,250.390625,86.92779541015625,1.7894251206341911
1031.pgm,512x512,81781,6.1416,True,inf,-0.0008639068297218896,0.0018013068390366448,7.999414840376113,212.5859375,75.80490112304688,0.7685148949716605
1032.pgm,512x512,8170,2.793,True,inf,0.0009595058615182812,0.0020593381933206706,7.999328430489212,243.775390625,96.893310546875,8.105497173234529
1033.pgm,512x512,13547,3.609,True,inf,-0.0005520494759873642,0.0032309777372950435,7.999253313172945,271.638671875,94.41261291503906,3.9728007597081803
1034.pgm,512x512,45136,4.968,True,inf,0.001945828471103921,0.00042668315922315183,7.99929556387194,256.240234375,86.26632690429688,1.754451078527114
1035.pgm,512x512,39201,4.8143,True,inf,0.002562859257554336,-0.001079872167874703,7.999280437499927,262.408203125,87.11013793945312,1.7990261900658702
1036.pgm,512x512,18284,3.621,True,inf,0.0046146485130025335,0.0005757246838063131,7.999338511033329,239.857421875,93.57261657714844,3.8949674718520217
1037.pgm,512x512,14092,6.3035,True,inf,0.0021078849812677792,-0.0011958080550298765,7.999239092359935,276.419921875,73.67210388183594,0.4742745792164522
1038.pgm,512x512,58175,5.8568,True,inf,-0.00048143607056062653,0.0023133764753294505,7.99928529955693,259.994140625,79.16259765625,0.8432545381433824
1039.pgm,512x512,4120,3.4082,True,inf,0.0018181912225836573,0.0013028524736387146,7.999368922366337,229.328125,96.09794616699219,4.124863568474265
104.pgm,512x512,11457,4.4813,True,inf,0.0011120173533806876,0.0028298992925369693,7.999326226427063,245.046875,91.80870056152344,1.9980621337890625
1040.pgm,512x512,8809,3.5841,True,inf,0.00019626372396761572,0.0003988452803057356,7.999260943722311,267.56640625,95.32432556152344,4.041653801413143
1041.pgm,512x512,29146,1.6727,True,inf,-0.0016927458700040322,0.0010651171158880465,7.999197318535176,292.16015625,94.10362243652344,29.814296049230236
1042.pgm,512x512,73414,6.038,True,inf,0.0008202357971279581,-0.0011545814580396427,7.999369538083579,228.7734375,77.04582214355469,0.7978716083601409
1043.pgm,512x512,4695,4.3823,True,inf,0.0013807852993764358,-0.0022285189558034933,7.99928160029988,261.134765625,92.98515319824219,2.0484415690104165
1044.pgm,512x512,77037,6.0916,True,inf,0.0005144325615931306,0.0008097230785207788,7.999248827394217,273.146484375,76.40953063964844,0.784771489162071
1045.pgm,512x512,23274,5.4744,True,inf,0.0013712264986283662,-8.396595685296425e-05,7.999231864916077,279.017578125,84.04998779296875,0.9534095315372243
1046.pgm,512x512,52855,5.0084,True,inf,0.001594308715370652,0.0006630075643823607,7.999342143221959,238.951171875,84.88044738769531,1.7007895076976105
1047.pgm,512x512,26900,4.6671,True,inf,-0.0004301023172517486,-0.00032585804344574434,7.999353063149918,235.236328125,89.22042846679688,1.890092737534467
1048.pgm,512x512,6237,4.3376,True,inf,0.003533445307942118,0.0015708468960215728,7.999209622335651,286.61328125,92.72842407226562,2.042661180683211
1049.pgm,512x512,74968,6.0696,True,inf,0.002945396073549486,3.040026818120546e-05,7.9993311772617375,242.884765625,76.72233581542969,0.7915960573682598
105.pgm,512x512,23855,4.6088,True,inf,0.0011268494779410787,0.0026934684072295115,7.999311711665409,250.21875,89.75448608398438,1.9098977481617647
1050.pgm,512x512,22000,2.2431,True,inf,0.001217916290427028,0.002177376492967665,7.999246192668358,274.12890625,95.08285522460938,15.343689264035692
1051.pgm,512x512,48583,4.9553,True,inf,0.0005785626370102081,0.0015358236519907365,7.99924596828582,274.23828125,85.75592041015625,1.7335959041819855
1052.pgm,512x512,43438,4.1719,True,inf,0.003358140429766247,0.0010190842990628584,7.999338958083451,240.298828125,89.07432556152344,3.5161216586243875
1053.pgm,512x512,62306,5.1556,True,inf,0.0019134986833135358,0.0010316156727272919,7.999382506238032,224.173828125,83.36448669433594,1.6340726964613972
1054.pgm,512x512,60171,5.1622,True,inf,0.00395860344204185,0.0010355629686668018,7.999248865063002,272.474609375,83.6334228515625,1.6484802844477633
1055.pgm,512x512,19760,2.8378,True,inf,0.002015441294284737,0.001588412776595576,7.999247982186938,273.330078125,94.76318359375,7.731936585669424
1056.pgm,512x512,35927,4.7631,True,inf,0.00114985108991365,0.0012914849916572128,7.999266596197515,266.421875,87.78190612792969,1.823431276807598
1057.pgm,512x512,19551,4.5237,True,inf,0.0013701553082265574,0.002872606354681754,7.999279691715813,261.4609375,90.51399230957031,1.9405499626608456
1058.pgm,512x512,39695,5.6531,True,inf,0.00033937038209638933,-0.0010601602065658485,7.9994092723387755,214.693359375,81.78863525390625,0.9037631165747548
1059.pgm,512x512,61838,5.1677,True,inf,0.0004716686021265672,-0.0006452291374071834,7.999349279789245,237.02734375,83.55445861816406,1.638798433191636
106.pgm,512x512,44736,4.1802,True,inf,0.0017345233733716272,-0.0014704199896540845,7.999292169463978,257.533203125,88.81378173828125,3.492341883042279
1060.pgm,512x512,27094,3.8455,True,inf,0.0026785919094181104,0.0010088946121345973,7.999368823166464,229.302734375,91.98036193847656,3.7605659634459254
1061.pgm,512x512,26120,2.9567,True,inf,0.0011444086349754294,0.00041053163871166483,7.999334723650908,241.779296875,93.61305236816406,7.550789328182445
1062.pgm,512x512,53661,5.816,True,inf,0.0034887121171365745,0.0019449858608126082,7.999301529931646,254.2421875,79.83283996582031,0.8573404947916666
1063.pgm,512x512,47413,5.7316,True,inf,0.0027418827444640917,0.0033616673792698404,7.999366104650029,230.478515625,80.67893981933594,0.8786549287683824
1064.pgm,512x512,22738,3.8241,True,inf,0.002087675804781067,0.003386778059503049,7.9992716044006436,263.865234375,92.78182983398438,3.8278602151309746
1065.pgm,512x512,37322,5.651,True,inf,0.0022259834057429544,0.0028386259403811367,7.99938434127676,223.693359375,82.14035034179688,0.9108315262140012
1066.pgm,512x512,12517,5.3564,True,inf,0.0016149594246643662,0.0024412853918517733,7.99935582016467,234.416015625,85.63766479492188,0.987862979664522
1067.pgm,512x512,54438,5.1216,True,inf,0.0014733932980403107,0.000624354687489672,7.999082643977918,333.330078125,84.63249206542969,1.6897194058287375
1068.pgm,512x512,40683,4.9155,True,inf,0.0008513801161678058,-0.00015672249349221222,7.999285380119739,259.232421875,87.04872131347656,1.7934716916551776
1069.pgm,512x512,27476,2.39,True,inf,0.0005563841072542995,0.002517156637051831,7.999194158786795,291.751953125,94.0277099609375,14.990412394205729
107.pgm,512x512,25093,2.9641,True,inf,2.3851330961746357e-05,-0.0004311356262442912,7.999414442968208,212.69140625,93.768310546875,7.5909678141276045
1070.pgm,512x512,41989,3.3444,True,inf,0.00034210423963914547,-0.0009543817805447785,7.999266431629168,267.115234375,90.62576293945312,7.063305424708946
1071.pgm,512x512,53631,5.8169,True,inf,0.002203633362518908,0.0016534460469087883,7.999270138551623,265.560546875,79.85763549804688,0.8592538272633272
1072.pgm,512x512,8585,5.2935,True,inf,0.00021625134123595053,4.7975397352589404e-05,7.999356645738977,233.111328125,86.36245727539062,1.0034897748161764
1073.pgm,512x512,4392,5.2859,True,inf,0.002973042550849933,0.003544490953354075,7.999301857042088,253.654296875,86.88735961914062,1.0162174000459558
1074.pgm,512x512,20662,3.7696,True,inf,0.0020214480807274416,-0.0009051691111706747,7.999261064520087,267.8203125,93.22776794433594,3.863413193646599
1075.pgm,512x512,23739,2.9496,True,inf,0.0002352439141513665,0.0021553706182317863,7.999308442708295,251.66015625,94.04869079589844,7.622517604453891
1076.pgm,512x512,54036,5.0322,True,inf,0.0019184050324559062,0.0022638435727191843,7.999324755635336,245.005859375,84.70077514648438,1.6909146776386337
1077.pgm,512x512,7266,3.5457,True,inf,0.00019370159231898366,0.00011190001328272809,7.999335279457755,241.533203125,95.53871154785156,4.073290357402726
1078.pgm,512x512,13414,4.4128,True,inf,-0.0006402458773059478,0.0026417164579446003,7.999321715221592,246.853515625,91.47491455078125,1.988492479511336
1079.pgm,512x512,35823,4.7878,True,inf,0.0015109012437860678,-0.0009732398447931838,7.999349158435128,236.71484375,87.80250549316406,1.8244560092103248
108.pgm,512x512,21064,2.1783,True,inf,-0.001316013363328819,0.006182241185777774,7.999347981432281,236.640625,95.29190063476562,15.389085657456341
1080.pgm,512x512,50179,4.2079,True,inf,0.004397029181868373,0.0013688665555341118,7.999412126949342,213.87109375,87.92686462402344,3.41098710602405
1081.pgm,512x512,29715,3.9256,True,inf,0.0005577551514329189,-0.0006685296549775963,7.999276858893735,262.615234375,91.50772094726562,3.7234108120787375
1082.pgm,512x512,35327,5.6234,True,inf,0.0009981795816883987,0.0016786297261241916,7.999262533816893,267.90234375,82.54241943359375,0.9189246682559743
1083.pgm,512x512,36789,3.2743,True,inf,-0.000565067956544548,0.0017225871812874317,7.999313466521222,249.0234375,91.58210754394531,7.2129058837890625
1084.pgm,512x512,40092,4.8311,True,inf,0.004344545282608739,0.002424374773003692,7.999299754133587,254.2734375,87.11814880371094,1.8020270852481617
1085.pgm,512x512,15589,2.8876,True,inf,0.004557725181357376,-0.0005297129332413695,7.999313684223645,248.77734375,95.54367065429688,7.865394143497243
1086.pgm,512x512,62731,5.9422,True,inf,0.0017729017377389094,0.0009296447331337714,7.999253294415104,270.771484375,78.546142578125,0.8307139078776041
1087.pgm,512x512,37279,3.993,True,inf,0.0031589606375134766,-0.0016662171912068158,7.999325617259332,245.1171875,90.2008056640625,3.614186305625766
1088.pgm,512x512,1358,5.2427,True,inf,0.0019747187295941306,0.001810490845533834,7.999180276723568,297.505859375,87.25013732910156,1.0244137633080577
1089.pgm,512x512,16996,4.481,True,inf,0.00037928558867506305,-0.001504931012309205,7.999273639254698,263.623046875,90.89393615722656,1.961523317823223
109.pgm,512x512,50139,4.9982,True,inf,-0.0001952057331577616,0.0005462331986216127,7.99933898445979,240.15234375,85.3973388671875,1.721005907245711
1090.pgm,512x512,57434,5.8506,True,inf,0.0006693757290417579,0.0009699349384685879,7.999275868665683,262.80078125,79.40254211425781,0.8470931707643995
1091.pgm,512x512,4172,6.2206,True,inf,0.003925180315087311,0.00019013224183745864,7.999275266985689,262.83984375,74.60517883300781,0.48538208007812506
1092.pgm,512x512,28684,4.6604,True,inf,0.0009852059942874823,-0.0019739898150217946,7.999347884512474,237.052734375,88.96903991699219,1.8713408825444242
1093.pgm,512x512,82611,6.1699,True,inf,0.00014730118092608644,0.00046692743950492297,7.999355520260378,234.45703125,75.75340270996094,0.7660600250842525
1094.pgm,512x512,50387,4.983,True,inf,0.002335501520979056,-0.0005422447680879283,7.999186182469371,295.32421875,85.43281555175781,1.7223762063419117
1095.pgm,512x512,1332,4.2313,True,inf,0.0031845010497594246,0.0013391343716319364,7.999348153638936,237.298828125,93.62335205078125,2.073543772977941
1096.pgm,512x512,9659,4.4413,True,inf,0.001475124707788228,0.002090536558287827,7.999333071743472,242.458984375,92.18368530273438,2.016713759478401
1097.pgm,512x512,33302,4.7552,True,inf,0.0036035390175074536,0.0021329819478074193,7.9993368156301194,240.55078125,88.21067810058594,1.8395203235102635
1098.pgm,512x512,38822,4.1196,True,inf,0.0022155308620871125,0.0009142531294690443,7.999307349074765,251.7265625,89.98298645019531,3.592533784754136
1099.pgm,512x512,24678,3.8618,True,inf,0.00187623200076743,0.00048587961836539495,7.999297089970175,255.015625,92.43927001953125,3.803395290000766
11.pgm,512x512,41002,4.0689,True,inf,0.002304437347896979,0.0028308699934323205,7.999333742268271,242.45703125,89.43557739257812,3.5586428174785536
110.pgm,512x512,18453,3.0192,True,inf,0.001447733309390185,-0.00026984964201478455,7.999288812839847,258.65625,94.9615478515625,7.783493341184129
1100.pgm,512x512,47542,4.2037,True,inf,0.002209319120126736,0.0019439241614281652,7.9993389089030895,241.158203125,88.35601806640625,3.455246570063572
1101.pgm,512x512,67276,5.9622,True,inf,0.0024739129502583087,-0.0004463869366823956,7.999380886149687,224.482421875,77.92701721191406,0.8145380955116422
1102.pgm,512x512,53829,5.0657,True,inf,0.0004128893778999494,0.0004184777053024704,7.999326988928139,244.376953125,84.7503662109375,1.6938542384727326
1103.pgm,512x512,27254,3.8851,True,inf,7.67931638433463e-05,0.0012841083860196387,7.999290733777771,258.45703125,91.97998046875,3.760203941195619
1104.pgm,512x512,3721,3.3529,True,inf,0.0027811985076275775,0.0012359092019394115,7.999311336568405,250.001953125,96.21353149414062,4.125885308957567
1105.pgm,512x512,10265,5.3386,True,inf,0.003280594580780515,0.0036008006418849314,7.999284554986389,259.638671875,86.11564636230469,0.999453675513174
1106.pgm,512x512,50337,4.2295,True,inf,0.0023063712371152556,-0.0013608042321912033,7.9992797754639335,261.111328125,87.88795471191406,3.4129363415287988
1107.pgm,512x512,3892,4.3226,True,inf,0.0018967588678330844,0.0016836247539035447,7.999265598710763,266.060546875,93.14613342285156,2.0572991464652266
1108.pgm,512x512,37788,4.816,True,inf,0.0013907691586101919,-0.00042674363816774574,7.999326612552582,244.408203125,87.44010925292969,1.8111374798943016
1109.pgm,512x512,41699,4.9916,True,inf,0.0026524483461763657,0.0011687632125691953,7.999214556464424,285.3359375,86.77635192871094,1.7829446231617647
111.pgm,512x512,12500,3.7171,True,inf,0.0010315300251809829,0.0003284034199779632,7.999306086525434,252.3515625,94.67658996582031,3.9947988472732843
1110.pgm,512x512,44860,4.9229,True,inf,0.0028228017289867982,0.0027685828949943285,7.999292505186389,257.462890625,86.21406555175781,1.7621792063993564
1111.pgm,512x512,33556,4.7087,True,inf,0.0027814476470533088,-0.00045888078052675347,7.999261666197648,268.16015625,88.18397521972656,1.840393963982077
1112.pgm,512x512,70368,6.0073,True,inf,6.024786485311063e-05,0.00014166762584070096,7.999154910200339,306.607421875,77.34375,0.804613898782169
1113.pgm,512x512,40492,4.9094,True,inf,-0.00024795396987810803,0.0006655472616302928,7.9993371288768165,240.861328125,86.84883117675781,1.792318306717218
1114.pgm,512x512,49238,4.9672,True,inf,0.0037321995536240154,0.00027284180264578194,7.99939449988675,219.78125,85.4522705078125,1.7252080580767464
1115.pgm,512x512,11176,2.6966,True,inf,0.0025165059326540578,-0.0009456239872490945,7.99928860156381,258.306640625,96.37947082519531,8.014972163181678
1116.pgm,512x512,26438,3.8109,True,inf,0.0033429039832378288,0.0009836313544902984,7.9993738742139575,228.408203125,92.13371276855469,3.770593381395527
1117.pgm,512x512,31478,3.9854,True,inf,0.002137861436230065,0.0005506981980189945,7.99934839165622,235.89453125,91.15524291992188,3.698362462660846
1118.pgm,512x512,26011,4.6603,True,inf,0.0016002233587297894,0.0003327030646514423,7.999295719845983,256.736328125,89.36805725097656,1.8972150017233453
1119.pgm,512x512,16911,2.1254,True,inf,0.0020909551108214512,-0.00025896820736266,7.999299376564652,254.69921875,96.03042602539062,15.694648892271754
112.pgm,512x512,17431,4.5438,True,inf,0.0009858669427957655,0.0009858521062753962,7.999318692752737,247.5625,90.87333679199219,1.9556307325176165
